name,is_male,is_fictional,age,is_married,is_turkish,from_movie,from_anime,from_tv_series,is_politician,is_actor,is_singer,is_sportsman,is_historical,popularity_score,height_cm,has_children,is_alive,birth_year,category,nationality,has_beard,wears_glasses,is_football_player,is_rapper,is_youtuber,known_for,is_director,is_model,is_comedian,is_tv_host,is_villain,is_superhero,burc,likes_strawberry_milk,has_dog,has_cat,favorite_food,spotify_listeners_million,played_for_galatasaray,played_for_fenerbahce,played_for_besiktas,played_for_real_madrid,won_ballon_dor,won_oscar,won_grammy,divorced,has_famous_partner,is_bald,has_tattoo,known_for_80s
Rihanna,0,0,36,1,0,1,0,0,0,1,1,0,0,99,173,2,1,1988,Pop Yıldızı,Barbadoslu,0,0,0,0,0,Umbrella ve Fenty Beauty,0,0,0,0,0,0,Pisces,0,0,0,Deniz ürünleri,82.1,0,0,0,0,0,0,9,0,1,0,1,0
Gazapizm,1,0,38,0,1,0,0,1,0,0,1,0,0,78,180,0,1,1988,Müzisyen,Türk,1,0,0,1,0,"Heyecanı Yok, Kalbim Çukurda, İzmir rap",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
L,1,1,25,0,0,0,1,0,0,0,0,0,0,98,179,0,0,1980,Kahraman,Japon,0,0,0,0,0,Dünyanın en iyi dedektifi, tatlı düşkünü,0,0,0,0,0,0,Akrep,1,0,0,Tatlılar,0,0,0,0,0,0,0,0,0,0,0,0,0
Uğur Yücel,1,0,69,1,1,1,0,1,0,1,0,0,0,88,0,1,1,1957,Oyuncu,Türk,1,0,0,0,0,"Eşkıya, İkinci Bahar, Yazı Tura yönetmenliği, magazin/popüler kültür görünürlüğü",1,0,0,0,0,0,Koç,0,0,0,sarma,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Hinata Hyuga,0,1,17,1,0,0,1,0,0,0,0,0,0,93,160,2,1,1990,Anime,Japon,0,0,0,0,0,Byakugan sahibi nazik kız,0,0,0,0,0,1,Oğlak,0,0,0,Zenzai,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultron,1,1,0,0,0,1,0,1,0,0,0,0,0,86,200,0,1,0,0,Kurgusal Kötü Adam,Amerikalı,1,0,0,0,0,"AI villain, vibranium body, extinction plan",0,0,0,0,1,Yay,1,0,0,spagetti,0,0,0,0,0,0,0,0,0,0,0,1,0
Engin Öztürk,1,0,39,0,1,1,0,1,0,1,0,0,0,74,184,0,1,1986,Oyuncu,Türk,1,0,0,0,0,"Fatmagül'ün Suçu Ne?, Behzat Ç., Doğduğun Ev Kaderindir",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Liam Neeson,1,0,74,0,0,1,0,1,0,1,0,0,0,94,193,1,1,1952,Oyuncu,İrlandalı,0,0,0,0,0,"Taken, Schindler's List, özel yetenekler monoloğu",0,0,0,0,0,0,Yengeç,0,1,1,pasta,0.0,0,0,0,0,0,0,0,1,0,0,0,1
Meral Akşener,0,0,67,1,1,0,0,0,1,0,0,0,0,92,170,1,1,1956,Siyasetçi,Türk,0,1,0,0,0,Asena,0,0,0,0,0,0,Cancer,0,0,0,Mantı,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Grey,0,1,35,1,0,1,0,1,0,0,0,0,0,84,168,0,1,0,Kurgusal Kahraman,Amerikalı,0,0,0,0,0,"Phoenix Force, telekinezi, X-Men",0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Emre Mor,1,0,28,0,1,0,0,1,0,0,0,1,0,76,169,0,1,1997,Futbolcu,Türk,1,0,1,0,0,"Borussia Dortmund, milli takım, çalım yeteneği",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Volkan Konak,1,0,59,0,1,0,0,0,0,0,1,0,0,82,178,0,1,1967,Müzisyen,Türk,1,0,0,0,0,"Kuzeyin Oğlu, Cerrahpaşa, Karadeniz türküleri",0,0,0,0,0,0,Yengeç,1,0,0,hamburger,1,0,0,0,0,0,0,0,1,1,0,0,0
Neymar,1,0,34,1,0,0,0,0,0,0,0,1,0,96,175,0,1,1992,Futbolcu,Brezilyalı,1,0,1,0,0,"Santos çıkışı, Barcelona MSN, Brezilya 10 numarası",0,0,0,0,0,0,Yay,0,1,0,fried chicken,0.0,0,0,0,0,0,0,0,0,1,0,1,0
Tilda Swinton,0,0,63,0,0,1,0,0,0,1,0,0,0,93,179,2,1,1960,Oyuncu,İngiliz,0,0,0,0,0,Sıra dışı rolleri ve Oscar ödülü,0,0,0,0,0,0,Akrep,0,0,1,Salata,0.0,0,0,0,0,0,1,0,0,0,0,0,1
Deniz Baysal,0,0,33,1,1,0,0,1,0,1,0,0,0,93,172,0,1,1991,Oyuncu,Türk,0,0,0,0,0,Teşkilat Zehra ve Fazilet Hanım Hazan,0,0,0,0,0,0,Aries,0,1,1,Deniz ürünleri,0,0,0,0,0,0,0,0,0,1,0,0,0
Spike Spiegel,1,1,0,0,0,1,1,1,0,0,0,0,0,90,185,0,1,0,Anime Karakteri,Japon,0,1,0,0,0,"Cowboy Bebop, space bounty hunter, whatever happens happens",0,0,0,0,0,0,Başak,1,0,0,çikolata,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Bane,1,1,45,0,0,1,0,0,0,0,0,0,0,94,203,0,1,1975,Villain,Hayali,0,0,0,0,0,Maskeli dev, Batman'i kıran adam,0,0,0,0,1,0,Koç,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0
Alperen Duymaz,1,0,34,1,1,1,0,1,0,1,0,0,0,82,183,1,1,1992,Oyuncu,Türk,0,0,0,0,0,"Çukur Emrah, Son Yaz Akgün, Zemheri, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Oğlak,0,1,1,kuru fasulye,0.0,0,0,0,0,0,0,0,0,0,0,1,0
İlyas Salman,1,0,75,1,1,1,0,0,0,1,0,0,0,92,168,2,1,1949,Oyuncu,Türk,0,0,0,0,0,Banker Bilo ve Çiçek Abbas,0,0,1,0,0,0,Aries,0,0,0,Pilav,0,0,0,0,0,0,0,0,1,0,0,0,1
Nick Fury,1,1,65,0,0,1,0,1,0,0,0,0,0,85,188,0,1,0,Kurgusal Kahraman,Amerikalı,1,0,0,0,0,"S.H.I.E.L.D., göz bandı, Avengers Initiative",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Ahmet Kural,1,0,41,1,1,1,0,1,0,1,0,0,0,94,173,1,1,1982,Oyuncu,Türk,1,0,0,0,0,Düğün Dernek ve Kardeş Payı başrolü,0,0,1,0,0,0,Scorpio,0,1,0,Kebap,0,0,0,0,0,0,0,0,0,1,0,1,0
Napoleon Bonaparte,1,0,257,1,0,0,0,0,1,0,0,0,1,98,0,0,0,1769,Lider,Fransız,1,1,0,0,0,"Napolyon Savaşları, Waterloo, Napolyon Kanunları",0,0,0,0,0,0,Yay,0,0,0,fried chicken,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Büşra Develi,1,0,33,1,1,1,0,1,0,1,0,0,0,78,0,0,1,1993,Oyuncu,Türk,0,0,0,0,0,"Fi Bilge, Tatlı Küçük Yalancılar, Arada, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Boğa,1,0,1,gözleme,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Motoko Kusanagi,1,1,0,0,0,0,1,1,0,0,0,0,0,88,168,0,1,0,Anime Karakteri,Kurgusal,0,0,0,0,0,"Ghost in the Shell, sibernetik beden, Section 9",0,0,0,0,0,1,Yay,1,0,0,kek,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Warren Buffett,1,0,96,1,0,0,0,0,0,0,0,0,0,92,183,1,1,1930,Yatırımcı,Amerikalı,0,1,0,0,0,Dünyanın en başarılı yatırımcısı,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Beyazıt Öztürk,1,0,57,0,1,1,0,1,0,1,0,0,0,84,184,0,1,1969,Oyuncu,Türk,1,0,0,0,0,"Beyaz Show, O Ses Türkiye, canlı yayın esprileri",0,0,1,1,0,0,Boğa,0,1,1,mantı,0,0,0,0,0,0,0,0,0,0,0,1,0
Aziz Sancar,1,0,77,1,1,0,0,0,0,0,0,0,1,96,174,0,1,1946,Bilim İnsanı,Türk,0,1,0,0,0,Nobel ödüllü DNA onarımı uzmanı,0,0,0,0,0,0,Virgo,0,0,0,Kısır,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Serkan Çayoğlu,1,0,39,1,1,1,0,1,0,1,0,0,0,82,0,0,1,1987,Oyuncu,Türk,1,0,0,0,0,"Kiraz Mevsimi Ayaz, Özge Gürel evliliği, Halka",0,1,1,0,0,0,Aslan,0,0,0,kokoreç,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nurettin Sönmez,1,0,48,1,1,1,0,1,0,1,0,0,0,80,185,0,1,1978,Oyuncu,Türk,1,0,0,0,0,"Diriliş Ertuğrul Bamsı, Kuruluş Osman, aksiyon sahneleri, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Aslan,1,1,0,döner,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Sukuna,1,1,30,0,0,0,1,1,0,0,0,0,0,94,173,0,1,0,Anime Kötü Karakteri,Japon,0,0,0,0,0,"lanetlerin kralı, parmaklar, Malevolent Shrine",0,0,0,0,1,1,İkizler,0,1,1,salata,0,0,0,0,0,0,0,0,0,0,0,0,0
Yılmaz Erdoğan,1,0,56,0,1,1,0,1,0,1,0,0,1,96,176,2,1,1967,Sanatçı,Türk,1,0,0,0,0,Vizontele ve BKM Mutfak kurucusu,1,0,1,1,0,0,Scorpio,0,0,0,Lahmacun,0,0,0,0,0,0,0,0,1,1,0,0,1
Osman Gazi,1,0,768,1,1,0,0,0,1,0,0,0,1,96,0,0,0,1258,Lider,Türk,0,0,0,0,0,"Osmanlı Beyliği'nin kurucusu, Söğüt-Bilecik hattı, Kayı boyu anlatısı",0,0,0,0,0,0,Boğa,0,1,1,mantı,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Clint Eastwood,1,0,96,1,0,1,0,1,0,1,0,0,0,98,193,0,0,1930,Oyuncu,Amerikalı,1,1,0,0,0,"Dirty Harry, Spaghetti Western, Unforgiven yönetmenliği",0,0,0,0,0,0,Yay,0,0,0,fried chicken,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Lionel Messi,1,0,36,1,0,0,0,0,0,0,0,1,0,99,170,1,1,1987,Futbolcu,Arjantin,1,0,1,0,0,8 Ballon d'Or,0,0,0,0,0,0,Cancer,0,1,0,Milanesa,0,0,0,0,0,8,0,0,0,0,0,1,0
Murat Boz,1,0,44,0,1,1,0,1,0,1,1,0,0,96,185,0,1,1980,Sanatçı,Türk,1,0,0,0,0,O Ses Türkiye jürisi ve pop şarkıcısı,0,0,0,1,0,0,Pisces,1,1,0,Lahmacun,3.5,0,0,0,0,0,0,0,1,1,0,1,0
Biran Damla Yılmaz,0,0,26,0,1,1,0,1,0,1,0,0,0,92,164,0,1,1997,Oyuncu,Türk,0,0,0,0,0,Kırgın Çiçekler Eylül ve Yasak Elma,0,0,0,0,0,0,Cancer,1,0,1,Makarna,0,0,0,0,0,0,0,0,0,0,0,0,0
Haluk Bilginer,1,0,69,0,1,1,0,1,0,1,0,0,0,94,174,1,1,1954,Oyuncu,Türk,1,1,0,0,0,Agah Beyoğlu Emmy Ödülü,0,0,0,0,0,0,Gemini,0,0,1,Balık,0,0,0,0,0,0,0,0,1,1,0,0,1
Arjen Robben,1,0,41,1,0,0,0,0,0,0,0,1,0,82,180,1,1,1984,Futbolcu,Hollandalı,0,0,1,0,0,"Bayern Münih, içe kat eden sol ayak, 2013 final golü",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Red Skull,1,1,0,0,0,1,0,1,0,0,0,0,0,82,185,0,1,0,0,Kurgusal Kötü Adam,Amerikalı,1,0,0,0,0,"Hydra leader, Tesseract obsession, Vormir guardian",0,0,0,0,1,Kova,0,0,0,kurabiye,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibi İlkkan,1,1,35,0,1,0,0,1,0,0,0,0,0,82,180,0,1,0,Kurgusal Kahraman,Türk,1,0,0,0,0,"Gibi, İlkkan arkadaşlığı, absürt tartışmalar",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
Killua Zoldyck,1,1,12,0,0,0,1,0,0,0,0,0,0,97,158,0,1,2000,Anime,Japon,0,0,0,0,0,Suikastçı aileden gelen çocuk, elektrik gücü,0,0,0,0,0,1,Yengeç,1,0,0,Çikolata,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Isaac,1,0,47,1,0,1,0,1,0,1,0,0,0,86,174,1,1,1979,Oyuncu,Uluslararası,0,0,0,0,0,"Moon Knight, Dune Duke Leto, Ex Machina",0,0,0,0,0,0,Oğlak,0,1,1,salad,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Rocket Raccoon,1,1,0,0,0,1,0,1,0,0,0,0,0,86,90,0,1,0,0,Kurgusal Kahraman,Amerikalı,0,0,0,0,0,"talking raccoon, heavy weapons, Guardians engineer",0,0,0,0,0,Boğa,0,1,1,ramen,1,0,0,0,0,0,0,0,0,0,0,0,0
Madonna,0,0,68,0,0,0,0,0,0,0,1,0,0,96,164,1,1,1958,Müzisyen,Amerikalı,0,0,0,0,0,"Like a Virgin, Vogue, pop reinvention queen",0,0,0,0,0,0,Terazi,0,1,0,burger,8.0,0,0,0,0,0,0,1,0,1,0,1,1
Acun Ilıcalı,1,0,54,0,1,1,0,1,0,0,0,0,0,99,182,4,1,1969,İş Adamı,Türk,1,0,0,0,0,Survivor ve TV8 sahibi,1,0,0,1,0,0,Gemini,0,0,0,Suşi,0,0,0,0,0,0,0,0,1,1,1,0,0
Zlatan Ibrahimović,1,0,45,1,0,0,0,0,0,0,0,1,0,92,195,1,1,1981,Futbolcu,İsveçli,1,0,1,0,0,"AC Milan, PSG",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Gavi,1,0,22,0,0,0,0,0,0,0,0,1,0,83,173,0,1,2004,Futbolcu,İspanyol,0,0,1,0,0,"Barcelona, İspanya Milli Takımı",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Alperen Şengün,1,0,24,1,1,0,0,0,0,0,0,1,0,88,211,0,1,2002,Sporcu,Türk,0,0,0,0,0,"Houston Rockets, post hareketleri, genç NBA yıldızı",0,0,0,0,0,0,Başak,0,0,0,kuru fasulye,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ferhan Şensoy,1,0,75,1,1,1,0,1,0,1,0,0,0,90,0,1,0,1951,Tiyatrocu,Türk,1,1,0,0,0,"Ortaoyuncular, Ferhangi Şeyler, Kel Hasan Efendi kavuğu",0,0,1,0,0,0,Koç,0,0,0,kebap,0.0,0,0,0,0,0,0,0,0,0,0,1,1
Leonardo DiCaprio,1,0,49,0,0,1,0,0,0,1,0,0,0,99,183,0,1,1974,Oyuncu,ABD,1,0,0,0,0,Titanic ve Inception, Oscar ödüllü,0,0,0,0,0,0,Scorpio,0,1,0,Pasta,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Gülse Birsel,0,0,53,1,1,1,0,1,0,1,0,0,0,95,175,0,1,1971,Yazar,Türk,0,1,0,0,0,Avrupa Yakası senaristi,1,0,1,0,0,0,Balık,1,0,1,Salata,0.0,0,0,0,0,0,0,0,0,1,0,0,1
Savaş Satış,1,0,38,0,1,1,0,1,0,1,0,0,0,78,178,0,1,1988,Oyuncu,Türk,1,0,0,0,0,"Sıfır Bir Savaş, Adana aksanı, sokak dizisi kültü, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,İkizler,1,1,0,döner,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Nihat Kahveci,1,0,44,1,1,0,0,0,0,0,0,1,0,93,175,2,1,1979,Yorumcu,Türk,1,0,1,0,0,Beşiktaş ve Villarreal efsane golcüsü,0,0,0,1,0,0,Sagittarius,0,1,0,Paella,0,0,0,1,0,0,0,0,1,0,0,1,0
Drake,1,0,37,0,0,0,0,1,0,1,1,0,0,99,182,1,1,1986,Rapçi,Kanada,1,0,0,1,0,Hotline Bling ve OVO,0,0,0,0,0,0,Scorpio,0,1,0,Steak,78.5,0,0,0,0,0,0,5,0,1,0,1,0
Abraham Lincoln,1,0,217,0,0,0,0,0,1,0,0,0,0,98,0,0,0,1809,Lider,Amerikalı,0,0,0,0,0,"Amerikan İç Savaşı, köleliğin kaldırılması, Gettysburg konuşması",0,0,0,0,0,0,Akrep,1,1,1,pancake,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Seda Sayan,0,0,64,1,1,0,0,1,0,0,1,0,0,90,0,1,1,1962,Müzisyen,Türk,0,0,0,0,0,"Sabahların Sultanı, Ah Geceler, televizyon evlilikleri",0,0,0,1,0,0,Oğlak,0,0,1,sarma,8.2,0,0,0,0,0,0,0,1,1,0,0,1
Harun Reşid,1,0,1260,1,0,0,0,1,1,0,0,0,1,82,0,1,0,766,Tarihî Figür,Arap,1,0,0,0,0,"Abbasi halifesi, Bağdat, Binbir Gece Masalları",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Mina Demirtaş,0,0,18,0,1,1,0,1,0,1,0,0,0,65,165,0,1,2007,Oyuncu,Türk,0,0,0,0,0,"Kızıl Goncalar, Zeynep, Akif",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Polat Alemdar,1,1,45,1,1,1,0,1,0,1,0,0,0,99,175,1,1,1975,Ajan,Türk,0,0,0,0,0,Kurtlar Vadisi ve Elif Eylül aşkı,0,0,0,0,0,0,Scorpio,0,1,0,Kuru Fasulye,0.0,0,0,0,0,0,0,0,1,1,0,0,0
Cihangir Ceyhan,1,0,37,1,1,1,0,1,0,1,0,0,0,82,180,1,1,1989,Oyuncu,Türk,0,0,0,0,0,"Sıfır Bir Cio, Çukur Azer, Camdaki Kız Hayri, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Oğlak,0,1,1,sarma,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Sulley,1,1,0,0,0,1,0,1,0,0,0,0,0,90,240,0,1,0,Çizgi Karakter,Kurgusal,1,0,0,0,0,"Monsters Inc top scarer, blue fur, Boo friendship",0,0,0,0,0,0,İkizler,1,0,0,burger,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Heath Ledger,1,0,47,1,0,1,0,1,0,1,0,0,0,96,185,0,1,1979,Oyuncu,Avustralyalı,0,0,0,0,0,"Joker, Brokeback Mountain, ölüm sonrası Oscar",0,0,0,0,0,0,Boğa,0,1,1,sushi,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Esra Erol,0,0,42,1,1,0,0,1,0,0,0,0,0,97,165,2,1,1982,Sunucu,Türk,0,0,0,0,0,Evlilik ve sosyal yardım programları sunucusu,0,0,0,1,0,0,Taurus,0,0,1,Mantı,0,0,0,0,0,0,0,0,0,0,0,0,0
Kubilay Han,1,0,811,1,0,0,0,1,1,0,0,0,1,86,0,1,0,1215,Tarihî Figür,Moğol,1,0,0,0,0,"Yuan Hanedanı, Çin imparatorluğu, Marco Polo",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Taylor Swift,0,0,34,0,0,1,0,0,0,1,1,0,0,99,180,0,1,1989,Pop Yıldızı,ABD,0,0,0,0,0,Eras Tour ve 14 Grammy ödülü,0,0,0,0,0,0,Sagittarius,1,1,1,Kurabiye,105.2,0,0,0,0,0,0,14,0,1,0,0,0
Madara Uchiha,1,1,0,0,0,0,1,1,0,0,0,0,0,92,179,0,1,0,Anime Karakteri,Kurgusal,0,1,0,0,0,"Naruto, efsane Uchiha, sonsuz Tsukuyomi planı",0,0,0,0,1,1,Yay,0,0,0,balık,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Onur Seyit Yaran,1,0,31,1,1,1,0,1,0,1,0,0,0,80,0,0,1,1995,Oyuncu,Türk,0,0,0,0,0,"Kardeşlerim Doruk, Kalk Gidelim, Best Model geçmişi, magazin/popüler kültür görünürlüğü",0,1,0,0,0,0,Başak,0,1,0,lahmacun,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Yılmaz Güney,1,0,89,1,1,1,0,0,0,0,0,0,0,92,0,0,1,1937,Yönetmen,Türk,0,0,0,0,0,"Yol, Umut, Çirkin Kral lakabı",1,0,0,0,0,0,Başak,0,1,0,kuru fasulye,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Lady Gaga,1,0,40,0,0,0,0,0,0,0,1,0,0,96,155,0,1,1986,Müzisyen,Amerikalı,1,0,0,0,0,"Bad Romance, Shallow, et elbise",0,0,0,0,0,0,İkizler,0,0,0,burger,10.1,0,0,0,0,0,0,1,0,0,0,1,0
Mert Yazıcıoğlu,1,0,33,1,1,1,0,1,0,1,0,0,0,82,0,0,1,1993,Oyuncu,Türk,1,1,0,0,0,"Aşk 101 Sinan, Darmaduman, magazin ilişkileri",0,0,1,0,0,0,Aslan,1,1,0,sarma,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Emma Watson,1,0,36,1,0,1,0,1,0,1,0,0,0,96,165,0,1,1990,Oyuncu,İngiliz,1,0,0,0,0,"Hermione Granger, UN Women konuşmaları, Beauty and the Beast",0,0,0,0,0,0,Yay,0,1,0,fried chicken,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Erkan Petekkaya,1,0,56,1,1,1,0,1,0,1,0,0,0,78,189,1,1,1970,Oyuncu,Türk,1,0,0,0,0,"Öyle Bir Geçer Zaman ki, Paramparça, Kırmızı Oda",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Professor X,1,1,0,0,0,1,0,1,0,0,0,0,0,88,183,0,1,0,Marvel kahramanı,Kurgusal,0,0,0,0,0,"telepati, X-Men lideri, tekerlekli sandalye",0,0,0,0,0,1,İkizler,0,0,1,balık,0,0,0,0,0,0,0,0,0,0,0,1,0
